date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-06,31.56,33.15,31.49,33.11,2704000.0,-1.8282,-1.6922,0.136,29.0256,37.5674,33.2965,43.8807,31.614,32.288,-10.2356,-110.8469,13.9679,True
2012-06-07,33.47,33.74,32.54,32.65,2208200.0,-1.7723,-1.5483,0.2239,29.1271,37.0509,33.089,42.0647,31.74,32.072,-9.1056,-98.066,12.1864,True
2012-06-08,32.46,32.81,32.22,32.78,1642200.0,-1.6993,-1.4076,0.2917,29.2191,36.6189,32.919,42.7817,32.128,31.942,-11.7299,-100.7287,12.9371,True
2012-06-11,33.18,33.37,31.78,31.84,1779500.0,-1.6307,-1.3563,0.2744,29.3061,36.0909,32.6985,39.0386,32.33,32.0473,-8.9744,-101.3125,11.2448,True
2012-06-12,32.05,32.47,31.8,32.3,1960800.0,-1.5574,-1.2639,0.2934,29.4641,35.5699,32.517,41.7125,32.536,32.0773,-11.0092,-99.576,11.2448,True
2012-06-13,32.05,32.25,31.54,31.7,2227300.0,-1.4909,-1.225,0.2659,29.8028,34.7562,32.2795,39.3033,32.254,32.0287,-13.7931,-101.9473,11.8788,True
2012-06-14,31.74,32.235,31.19,32.08,1921100.0,-1.4228,-1.1503,0.2725,30.2478,33.9302,32.089,41.5924,32.14,32.022,-12.1662,-97.891,12.7322,True
2012-06-15,32.03,33.43,31.94,33.37,3168300.0,-1.3333,-0.9757,0.3577,30.5029,33.5391,32.021,48.638,32.258,32.1227,-7.2162,-75.5263,9.0648,True
2012-06-18,33.11,33.85,32.76,33.64,1614000.0,-1.2279,-0.8062,0.4217,30.7428,33.6372,32.19,49.9908,32.618,32.224,4.7015,-64.1357,7.8112,True
2012-06-19,33.99,35.13,33.76,34.64,2877500.0,-1.0992,-0.5845,0.5147,30.5423,34.1167,32.3295,54.7231,33.086,32.348,10.0909,-42.7202,4.1027,True
2012-06-20,34.63,35.09,33.99,34.67,2605100.0,-0.9598,-0.4018,0.558,30.383,34.5,32.4415,54.8604,33.68,32.516,7.3417,-39.7063,4.1027,True
2012-06-21,34.69,34.69,32.98,33.05,1831700.0,-0.8444,-0.3832,0.4612,30.4137,34.5563,32.485,46.672,33.874,32.5847,7.101,-56.4451,6.7211,True
2012-06-22,33.11,33.92,32.92,33.81,1919500.0,-0.7363,-0.3037,0.4326,30.4553,34.7097,32.5825,50.3937,33.962,32.7827,5.1457,-54.9415,6.8747,True
2012-06-25,33.32,33.43,32.71,32.81,1454400.0,-0.6526,-0.3177,0.3349,30.4985,34.7355,32.617,45.8797,33.796,32.9147,3.8199,-63.6237,7.4173,True
2012-06-26,32.96,33.275,32.56,32.95,1401500.0,-0.5849,-0.3139,0.2709,30.5031,34.7479,32.6255,46.5973,33.458,33.0267,0.9404,-62.4936,7.8076,True
2012-06-27,33.24,33.74,32.81,33.55,1399600.0,-0.5198,-0.2595,0.2603,30.5483,34.8427,32.6955,49.6618,33.234,33.056,4.1037,-51.977,6.3938,True
2012-06-28,33.13,33.54,32.24,32.83,1610800.0,-0.4701,-0.2713,0.1988,30.6108,34.8612,32.736,46.2495,33.19,33.068,3.9033,-59.5957,7.8994,True
2012-06-29,33.61,35.0,33.51,34.99,3097200.0,-0.3971,-0.1052,0.2919,30.7891,35.0979,32.9435,55.9731,33.426,33.2153,11.5005,-25.1382,3.5606,True
2012-07-02,35.03,35.03,34.25,34.51,1403300.0,-0.3201,-0.0121,0.308,31.1018,35.1532,33.1275,53.6617,33.766,33.3933,12.1678,-21.4474,3.4736,True
2012-07-03,34.61,34.91,34.46,34.7,841800.0,-0.2409,0.0761,0.3169,31.3522,35.2458,33.299,54.4593,34.116,33.5533,10.7551,-17.8437,3.4736,True
2012-07-05,34.49,34.79,34.02,34.65,1024400.0,-0.1646,0.1403,0.305,31.3452,35.4068,33.376,54.1963,34.336,33.75,4.9472,-20.7588,4.6874,True
2012-07-06,34.19,34.26,31.99,32.31,4615100.0,-0.1312,0.0024,0.1336,31.2987,35.4193,33.359,43.6307,34.232,33.7653,1.5412,-55.0776,9.9973,True
2012-07-09,32.34,32.38,31.01,31.41,3585200.0,-0.1405,-0.1775,-0.037,31.0726,35.5084,33.2905,40.3862,33.516,33.6347,-1.3106,-81.2414,12.3934,False
2012-07-10,31.58,32.0,30.37,30.65,3994900.0,-0.1878,-0.377,-0.1892,30.8065,35.6555,33.231,37.8403,32.744,33.4353,-4.1055,-92.8964,13.9155,False
2012-07-11,30.62,31.28,30.16,30.52,2947000.0,-0.2581,-0.5394,-0.2813,30.4693,35.8147,33.142,37.4081,31.908,33.1607,-3.6649,-99.4801,14.4117,False
2012-07-12,30.27,31.58,30.12,31.26,3684700.0,-0.3268,-0.6015,-0.2747,30.3935,35.8465,33.12,41.4841,31.23,32.9333,-2.0775,-90.4189,13.4616,False
2012-07-13,31.21,31.85,31.13,31.72,1624000.0,-0.3828,-0.6066,-0.2238,30.3437,35.8603,33.102,43.9166,31.112,32.8447,-1.1944,-74.7469,12.6057,False
2012-07-16,31.53,31.56,30.94,31.39,1659900.0,-0.4322,-0.63,-0.1978,30.1498,35.8562,33.003,42.5568,31.108,32.6833,-5.5938,-79.868,13.0749,False
2012-07-17,31.62,32.12,30.845,31.93,2118900.0,-0.4654,-0.598,-0.1327,30.0433,35.7917,32.9175,45.5146,31.364,32.6247,-5.1108,-69.4183,11.284,False
2012-07-18,31.81,32.54,31.63,32.21,2445700.0,-0.4811,-0.5439,-0.0628,30.0196,35.5724,32.796,47.0298,31.702,32.5753,-7.3726,-54.3247,9.9558,False
2012-07-19,32.42,33.56,32.18,33.445,2154100.0,-0.4642,-0.3967,0.0675,30.0748,35.3947,32.7347,53.1826,32.139,32.5683,-4.3602,-26.2751,6.8073,True
2012-07-20,33.3,33.32,32.12,32.16,2263300.0,-0.4472,-0.3794,0.0678,30.0231,35.3574,32.6902,47.0854,32.227,32.5237,-3.9493,-40.0735,6.9667,True
2012-07-23,31.57,31.99,30.94,31.79,1360700.0,-0.436,-0.391,0.045,29.9465,35.232,32.5892,45.477,32.307,32.3103,-5.6899,-68.303,10.0431,True
2012-07-24,31.78,31.86,31.0717,31.325,2225100.0,-0.4353,-0.4328,0.0026,29.8183,35.2117,32.515,43.4771,32.186,32.098,-4.6964,-72.5992,10.0431,True
