date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-12,16.14,16.27,16.01,11.957881028,4638100.0,-0.2572,-0.2549,-0.0023,12.1953,12.7925,11.598,40.776,11.9682,12.1191,-6.6016,-145.8819,17.9442,False
2012-06-13,15.99,16.19,15.86,11.7741397707,4685500.0,-0.2596,-0.2559,-0.0038,12.153,12.7439,11.5622,37.4948,11.9182,12.074,-6.8514,-148.2616,18.3653,False
2012-06-14,15.92,16.12,15.88,11.8924728337,4694700.0,-0.2491,-0.2545,0.0054,12.1196,12.6897,11.5495,40.7828,11.8625,12.0319,-6.7744,-136.7648,18.3653,True
2012-06-15,16.15,16.25,16.03,12.0108058967,8296600.0,-0.2286,-0.2493,0.0207,12.1031,12.6658,11.5405,43.9423,11.8834,11.9982,-4.4856,-115.1256,16.7563,True
2012-06-18,16.18,16.39,16.085,12.1069515104,6292400.0,-0.2022,-0.2399,0.0377,12.1007,12.6628,11.5386,46.4304,11.9485,11.9773,-2.5239,-99.306,15.0437,True
2012-06-19,16.45,16.65,16.42,12.2770552885,5024700.0,-0.1657,-0.2251,0.0594,12.0924,12.6387,11.5461,50.5878,12.0123,11.9618,-1.0945,-67.99,11.9425,True
2012-06-20,16.65,16.93,16.52,12.521117231,9345600.0,-0.1157,-0.2032,0.0875,12.0959,12.6523,11.5395,55.8545,12.1617,11.9817,-0.6627,-41.5282,8.7325,True
2012-06-21,16.96,16.98,16.69,12.3510134529,8537900.0,-0.0888,-0.1803,0.0915,12.0873,12.6218,11.5528,51.7366,12.2534,12.0016,0.0683,-40.1459,8.1692,True
2012-06-22,16.78,16.81,16.715,12.3805967186,5790100.0,-0.0644,-0.1571,0.0928,12.0805,12.5961,11.5649,52.3906,12.3273,12.0444,-1.5963,-42.2552,8.1692,True
2012-06-25,16.56,16.65,16.39,12.1291389597,4228700.0,-0.0646,-0.1386,0.0741,12.0659,12.5581,11.5737,46.6351,12.3318,12.072,-1.9052,-69.418,11.2595,True
2012-06-26,16.39,16.51,16.21,11.9960142638,4771900.0,-0.0746,-0.1258,0.0512,12.0402,12.489,11.5915,43.8995,12.2756,12.0853,-2.787,-84.246,12.9102,True
2012-06-27,16.24,16.54,16.24,12.2030971241,4013100.0,-0.0651,-0.1137,0.0486,12.0393,12.4865,11.592,48.8957,12.212,12.0973,-2.0947,-69.8368,12.5553,True
2012-06-28,16.33,16.46,16.25,12.151326409,4779800.0,-0.061,-0.1031,0.0421,12.0442,12.4941,11.5943,47.7565,12.172,12.096,-0.5799,-72.3447,12.5553,True
2012-06-29,16.72,16.84,16.58,12.454554883,4724300.0,-0.0329,-0.0891,0.0562,12.08,12.5406,11.6195,54.4208,12.1868,12.1325,4.4102,-30.9566,8.1046,True
2012-07-02,16.95,17.03,16.79,12.5580963132,3242100.0,-0.0023,-0.0717,0.0694,12.1222,12.5956,11.6488,56.4531,12.2726,12.1843,6.4408,-9.986,5.9738,True
2012-07-03,16.91,17.14,16.91,12.6690335598,1555100.0,0.0306,-0.0513,0.0819,12.1658,12.6708,11.6608,58.5735,12.4072,12.2317,6.9291,5.0225,4.7582,True
2012-07-05,16.98,17.11,16.91,12.5433046803,3287700.0,0.046,-0.0318,0.0778,12.1918,12.7179,11.6656,55.3036,12.4753,12.283,5.2413,-1.8662,4.7582,True
2012-07-06,16.85,16.89,16.68,12.4471590666,2534100.0,0.0498,-0.0155,0.0653,12.2056,12.7432,11.668,52.8846,12.5344,12.32,1.9562,-22.7923,7.0635,True
2012-07-09,16.82,16.93,16.66,12.4989297817,3703700.0,0.0564,-0.0011,0.0575,12.2352,12.7689,11.7015,54.0443,12.5433,12.3525,2.7524,-18.1595,6.6071,True
2012-07-10,16.95,17.08,16.63,12.3584092693,4059800.0,0.0497,0.0091,0.0407,12.2641,12.7574,11.7707,50.4342,12.5034,12.3693,5.0311,-19.7502,4.9018,True
2012-07-11,16.72,16.84,16.6399,12.4323674337,5004100.0,0.0498,0.0172,0.0326,12.2878,12.7653,11.8102,52.2335,12.456,12.3796,4.1535,-23.6254,4.9018,True
2012-07-12,16.64,16.69,16.32,12.1809096748,6062500.0,0.0292,0.0196,0.0096,12.3081,12.7275,11.8887,46.133,12.3836,12.3569,3.0883,-54.4409,8.1426,True
2012-07-13,16.49,16.71,16.39,12.3436176364,4022300.0,0.0258,0.0208,0.0049,12.3307,12.7043,11.9571,50.1679,12.3628,12.3564,3.66,-40.365,7.9088,True
2012-07-16,16.68,16.82,16.565,12.3879925351,3713000.0,0.0263,0.0219,0.0044,12.3495,12.6935,12.0055,51.2353,12.3407,12.3569,3.5077,-24.3605,6.6195,True
2012-07-17,16.81,16.93,16.67,12.4915339652,3235700.0,0.0347,0.0245,0.0102,12.3688,12.6991,12.0384,53.7138,12.3673,12.3811,3.2947,-6.9862,5.3396,True
2012-07-18,16.87,17.04,16.85,12.5950753954,6536700.0,0.0491,0.0294,0.0197,12.3847,12.7262,12.0431,56.1042,12.3998,12.421,2.3423,14.6098,4.0691,True
2012-07-19,17.16,17.16,16.91,12.5433046803,5217700.0,0.0557,0.0347,0.0211,12.3858,12.7292,12.0423,54.5938,12.4723,12.4437,1.3585,22.5329,2.695,True
2012-07-20,16.86,16.89,16.65,12.3953883515,7088400.0,0.0485,0.0374,0.011,12.388,12.7311,12.0449,50.4371,12.4827,12.46,-0.53,-9.7521,5.4459,True
2012-07-23,16.56,16.97,16.4,12.5359088639,10115000.0,0.0535,0.0406,0.0128,12.3958,12.7448,12.0467,54.0019,12.5122,12.4654,0.9518,-5.4209,7.9894,True
2012-07-24,16.95,17.51,16.82,12.7725749899,15948800.0,0.0756,0.0476,0.028,12.4279,12.7911,12.0648,59.286,12.5685,12.4797,5.1652,70.5033,1.9644,True
